產品品號,產品類別,產品名稱,庫存量,price2,price3,生效日,失效日
8400244,吊飾／佛牌,招財黃金龍牌,60,688,688,2014/10/13 上午 12:00:00,
8400074,吊飾／佛牌,愛神佛牌,1,999,899,1900/1/1 上午 12:00:00,
8200096,吊飾／佛牌,開運心咒天馬旗,62,588,0,2014/10/13 上午 12:00:00,
8200096,符袋佛卡,開運心咒天馬旗,62,588,0,2014/10/13 上午 12:00:00,
8100646,飾品,大甲媽袓-六字真言開運手鍊(女款),15,3980,1990,1900/1/1 上午 12:00:00,
8101291,吊飾／佛牌,花好悅緣琉璃吊飾,1,999,0,2014/10/13 上午 12:00:00,
8101481,香／爐／金紙,(特惠)五方招財香-2入,93,1580,0,2014/10/13 上午 12:00:00,
8101691,掛畫／生活用品,生肖六合貴人杯墊(馬+羊),4,688,0,2014/10/13 上午 12:00:00,
8101690,掛畫／生活用品,生肖六合貴人杯墊(蛇+猴),4,688,0,2014/10/13 上午 12:00:00,
8101689,掛畫／生活用品,生肖六合貴人杯墊(龍+雞),2,688,0,2014/10/13 上午 12:00:00,
8101688,掛畫／生活用品,生肖六合貴人杯墊(兔+狗),7,688,0,2014/10/13 上午 12:00:00,
8101687,掛畫／生活用品,生肖六合貴人杯墊(虎+豬),7,688,0,2014/10/13 上午 12:00:00,
8101686,掛畫／生活用品,生肖六合貴人杯墊(鼠+牛),7,688,0,2014/10/13 上午 12:00:00,
8101648,掛畫／生活用品,媚眼狐仙戀愛魔鏡,93,999,680,2014/10/13 上午 12:00:00,
8101647,吊飾／佛牌,爆鑽招財貓掛飾,2,888,0,2014/10/13 上午 12:00:00,
8101643,香／爐／金紙,吳美玲-財寶龍王煙供爐,50,3600,0,2014/10/13 上午 12:00:00,
8101603,印章／書／文具,吳美玲-傳家臍帶章,2,6000,0,2014/10/13 上午 12:00:00,
8101590,風水擺鎮,好運龍來鈴,7,1680,0,2014/10/13 上午 12:00:00,
8101589,掛畫／生活用品,平安滿月虎頭鞋,2,888,0,1900/1/1 上午 12:00:00,
8101584,風水擺鎮,納福旺家百子盤,26,1680,1680,1900/1/1 上午 12:00:00,
8101567,飾品,吉財無限一直賺鍊,7,1680,0,2014/10/13 上午 12:00:00,
8101566,飾品,圓滿情結心願鍊,19,888,0,2014/10/13 上午 12:00:00,
8101556,吊飾／佛牌,桃花粉鑽狐仙吊飾,6,1280,0,2014/10/13 上午 12:00:00,
8101546,風水擺鎮,12生肖五行幸運粉水晶(屬蛇.馬者),53,488,488,2014/10/13 上午 12:00:00,
8101543,風水擺鎮,12生肖五行幸運白水晶(屬猴.雞者),66,488,488,2014/10/13 上午 12:00:00,
8101535,香／爐／金紙,蓮花香盤臥貔貅(送隨身香、香夾),5,1680,1680,2014/10/13 上午 12:00:00,
8101408,香／爐／金紙,((特惠))玉帝金鈔拜神補財庫套裝金紙,4,999,0,1900/1/1 上午 12:00:00,
8101478,風水擺鎮,招財普巴金剛杵壇城(含裝臟),9,1280,0,1900/1/1 上午 12:00:00,
8101474,印章／書／文具,【79折】金賺致富發財筆,2,465,465,2014/10/13 上午 12:00:00,
8101451,香／爐／金紙,八吉祥黃金香盤組(香夾+香盤),-1,699,0,2014/10/13 上午 12:00:00,
8101416,吊飾／佛牌,((特惠))財神進門琉璃掛飾,14,488,488,2014/10/13 上午 12:00:00,
8101410,香／爐／金紙,十方貴人安太歲金紙組,2,199,199,2014/10/13 上午 12:00:00,
8103359,風水擺鎮,(官網5折優惠)紫氣豐發貴人樹(大),0,990,0,2014/10/13 上午 12:00:00,
8101402,吊飾／佛牌,((特惠))金龍抱珠貔貅吊飾,47,688,0,2014/10/13 上午 12:00:00,
8101401,吊飾／佛牌,((特惠))銀龍抱珠貔貅吊飾,44,688,0,2014/10/13 上午 12:00:00,
8101356,飾品,玫瑰晶彩賺鍊,8,888,0,2014/10/13 上午 12:00:00,
8101354,吊飾／佛牌,((特惠))大甲鎮瀾宮 媽祖平安項鍊,3,1980,1980,2014/10/13 上午 12:00:00,
8101348,飾品,((特惠))六字箴言轉運手鍊(紅玉髓),8,980,0,1900/1/1 上午 12:00:00,
8101346,風水擺鎮,((特惠))周映君‧七寶葫蘆轉運擺陣,1,980,0,2014/10/13 上午 12:00:00,
8101338,香／爐／金紙,((特惠))五方招財香,23,888,0,2014/10/13 上午 12:00:00,
8101331,風水擺鎮,((特惠))富貴榮華四神獸黃玉水晶陣,5,1380,1380,1900/1/1 上午 12:00:00,
8101329,飾品,極致金貴圓滿套組,55,888,0,2014/10/13 上午 12:00:00,
8101313,香／爐／金紙,除穢招財元寶香(一盒入),93,368,368,2014/10/13 上午 12:00:00,
8101308,吊飾／佛牌,雙龍抱珠貔貅吊飾組,23,1680,0,2014/10/13 上午 12:00:00,
8101294,飾品,桃花醒運鈴手鍊,3,999,0,2014/10/13 上午 12:00:00,
8101293,吊飾／佛牌,富貴如意龍鳳吊飾,5,1580,1280,2014/10/13 上午 12:00:00,
8101252,香／爐／金紙,桃花綻放愛情爐套組,4,1280,0,1900/1/1 上午 12:00:00,
8101245,吊飾／佛牌,鴻運虎眼吊飾,5,999,0,2014/10/13 上午 12:00:00,
8101239,吊飾／佛牌,開智慧文昌筆隨身吊飾,2,888,0,2014/10/13 上午 12:00:00,
8101210,香／爐／金紙,金鑽香爐,0,990,0,2014/10/13 上午 12:00:00,
8101158,飾品,緬甸玉招財貔貅項鏈,10,1380,0,2014/10/13 上午 12:00:00,
8101154,風水擺鎮,金銀財寶日日來彌樂佛,7,2880,2880,2014/10/13 上午 12:00:00,
8101125,掛畫／生活用品,平安喜果開運風水畫油畫,20,2980,0,1900/1/1 上午 12:00:00,
8101124,掛畫／生活用品,繁花步步升開運風水畫油畫,22,2980,0,1900/1/1 上午 12:00:00,
8101053,掛畫／生活用品,招財黃金磚,-1,1080,999,2014/10/13 上午 12:00:00,
8101052,風水擺鎮,粉晶狐仙擺飾,43,1280,0,2014/10/13 上午 12:00:00,
8100876,飾品,貴氣豐發紫晶鑽套組,47,1280,0,2014/10/13 上午 12:00:00,
8100875,飾品,花開富貴黃晶鑽套組,59,1280,0,2014/10/13 上午 12:00:00,
8100857,飾品,西藏天眼珠手鍊(小),2,1580,999,2014/10/13 上午 12:00:00,
8100851,飾品,耀發金剛杵項鍊,3,999,0,2014/10/13 上午 12:00:00,
8100840,飾品,七彩安康碧玉手鍊,15,980,790,1900/1/1 上午 12:00:00,
8100746,香／爐／金紙,吳美玲‧招財百寶香粉(2入),30,1580,0,2014/10/13 上午 12:00:00,
8100728,香／爐／金紙,蓮花香夾,20,99,99,2014/10/13 上午 12:00:00,
8100356,風水擺鎮,吳美玲．寶玉招財蟾蜍,1,1688,0,2014/10/13 上午 12:00:00,
8101821,飾品,鑽中鑽淘金女王錶,10,2980,0,2014/10/13 上午 12:00:00,
8101855,印章／書／文具,((送開刻)) 吳美玲．金龍財庫琉璃篆印,15,3680,0,2014/10/13 上午 12:00:00,
8101856,印章／書／文具,((送開刻)) 吳美玲．紫鳳財庫琉璃篆印 ,3,3680,0,2014/10/13 上午 12:00:00,
8101857,印章／書／文具,((送開刻)) 吳美玲．紫金龍鳳百年開運大印,3,6600,0,2014/10/13 上午 12:00:00,
8101826,飾品,((七夕特惠))粉紅爆晶桃花手鍊,2,880,688,2014/10/13 上午 12:00:00,
8101825,飾品,玫瑰香戀粉鑽項鍊,11,688,0,2014/10/13 上午 12:00:00,
8101776,法會 / 點燈,圓滿靈狐點燈(全年),18,3600,0,2014/10/13 上午 12:00:00,
8101774,法會 / 點燈,桃花靈狐點燈(單次),10,1980,0,2014/10/13 上午 12:00:00,
